node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,8,0.0003035085187
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,8,0.0005570834946
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,8,0.00120808028
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,8,0.0005215966276
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,8,0.001224007919
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,8,0.0005692426647
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,9,5.231587039e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,9,0.0005137827425
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,9,5.053629921e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,9,0.0004046780013
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,9,0.0003060687156
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,9,0.0005653072681
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,9,0.0003082178888
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,9,0.0005288946132
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,9,0.001177696316
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,9,0.0006549381074
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,9,0.001361143589
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,9,0.0005809072937
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,10,5.336832255e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,10,0.000478918673
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,10,5.177767681e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,10,0.0004867326291
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,10,0.0003198358629
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,10,0.0005204913872
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,10,0.0002952928522
