node,gpu,arm,N,K,rep,wall_s
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,9,152.5373
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,9,140.8497
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,9,159.9075
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,9,143.9767
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,0,10,173.6524
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,0,10,155.1045
inf03,NVIDIA_A100-PCIE-40GB,CPU,50000,50000,10,151.9950
inf03,NVIDIA_A100-PCIE-40GB,CUDA,50000,50000,10,132.9916
inf03,NVIDIA_A100-PCIE-40GB,CPU,100000,0,1,608.6409
inf03,NVIDIA_A100-PCIE-40GB,CUDA,100000,0,1,512.8312
inf03,NVIDIA_A100-PCIE-40GB,CPU,100000,50000,1,602.9561
