node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,CPU,6,0.00777571031
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,GPU,6,0.001103150845
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,CPU,6,0.01485593427
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,GPU,6,0.00211787874
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,CPU,6,0.01527695981
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,GPU,6,0.002131701058
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,CPU,6,0.02157433466
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,GPU,6,0.002186611837
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,CPU,6,0.02206691178
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,GPU,6,0.002201854234
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,CPU,6,0.03088028864
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,GPU,6,0.002260477705
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,CPU,6,0.03259320259
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,GPU,6,0.00228989341
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,CPU,6,0.04880085425
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,GPU,6,0.002418790351
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,CPU,6,0.05138261101
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,GPU,6,0.002439546043
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,CPU,6,0.06654074842
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,GPU,6,0.002605349096
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,CPU,6,0.0694343827
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,GPU,6,0.002689552578
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,CPU,6,0.09941225052
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,GPU,6,0.003131660277
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,CPU,6,0.1055030649
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,GPU,6,0.003245658224
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,CPU,6,0.1354961655
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,GPU,6,0.003747197986
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,CPU,6,0.1383077448
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,GPU,6,0.003874807195
