benchmark,mode,size_key,size_value,steps,replicate,real_seconds,error_lines,exit_code
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,8,1.126097,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,9,1.104641,0,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,10,1.083865,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,1,0.241662,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,2,0.248232,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,3,0.242429,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,4,0.235354,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,5,0.247200,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,6,0.247530,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,7,0.248373,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,8,0.235964,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,9,0.242835,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,10,0.240985,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,1,0.248044,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,2,0.247919,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,3,0.250008,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,4,0.244413,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,5,0.247104,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,6,0.251827,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,7,0.258136,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,8,0.244362,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,9,0.262816,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,10,0.265247,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,1,0.271095,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,2,0.264553,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,3,0.268752,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,4,0.274453,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,5,0.267301,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,6,0.275249,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,7,0.268104,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,8,0.262244,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,9,0.277957,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,10,0.284192,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,1,0.289894,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,2,0.296732,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,3,0.288457,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,4,0.286874,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,5,0.301109,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,6,0.285349,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,7,0.297557,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,8,0.287848,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,9,0.287936,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,10,0.294725,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,1,0.306368,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,2,0.302957,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,3,0.302026,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,4,0.311941,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,5,0.307457,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,6,0.305394,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,7,0.303053,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,8,0.310792,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,9,0.301912,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,10,0.307239,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,1,0.332772,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,2,0.327050,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,3,0.321763,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,4,0.333788,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,5,0.332317,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,6,0.327265,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,7,0.340713,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,8,0.327597,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,9,0.328641,0,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,10,0.358402,0,0
